state,task,model,seed,train_year,eval_year,accuracy
CA,income,GBM,0,2014,2014,0.8235204575355275
CA,income,GBM,0,2014,2015,0.8198169365678807
CA,income,GBM,0,2014,2016,0.8160451763518203
CA,income,GBM,0,2014,2017,0.8121702171772145
CA,income,GBM,0,2014,2018,0.8084490918197337
CA,income,GBM,1,2014,2014,0.8236400604538388
CA,income,GBM,1,2014,2015,0.8205210266914165
CA,income,GBM,1,2014,2016,0.8146465602456516
CA,income,GBM,1,2014,2017,0.8128958689680195
CA,income,GBM,1,2014,2018,0.807529156828473
CA,income,GBM,2,2014,2014,0.823031172869709
CA,income,GBM,2,2014,2015,0.8194648915061128
CA,income,GBM,2,2014,2016,0.8166235514333187
CA,income,GBM,2,2014,2017,0.8122531488104494
CA,income,GBM,2,2014,2018,0.8082242188218699
CA,income,GBM,3,2014,2014,0.8220634765306455
CA,income,GBM,3,2014,2015,0.8193475431521902
CA,income,GBM,3,2014,2016,0.8149935852945507
CA,income,GBM,3,2014,2017,0.8125848753433887
CA,income,GBM,3,2014,2018,0.8083570983206075
CA,income,GBM,4,2014,2014,0.824488153874591
CA,income,GBM,4,2014,2015,0.8210971004288549
CA,income,GBM,4,2014,2016,0.8160031127095295
CA,income,GBM,4,2014,2017,0.8128336702430934
CA,income,GBM,4,2014,2018,0.8076824793270164
CA,income,GBM,5,2014,2014,0.8256515640799817
CA,income,GBM,5,2014,2015,0.8213317971367001
CA,income,GBM,5,2014,2016,0.8164658127747282
CA,income,GBM,5,2014,2017,0.812387912714456
CA,income,GBM,5,2014,2018,0.8080708963233265
CA,income,GBM,6,2014,2014,0.8225310152113167
CA,income,GBM,6,2014,2015,0.8204036783374938
CA,income,GBM,6,2014,2016,0.8161713672786927
CA,income,GBM,6,2014,2017,0.8128440366972477
CA,income,GBM,6,2014,2018,0.8080300103237149
CA,income,GBM,7,2014,2014,0.824314185993411
CA,income,GBM,7,2014,2015,0.820894407817534
CA,income,GBM,7,2014,2016,0.8169600605716449
CA,income,GBM,7,2014,2017,0.8130617322344892
CA,income,GBM,7,2014,2018,0.8089295023151697
CA,income,GBM,8,2014,2014,0.8235530765132487
CA,income,GBM,8,2014,2015,0.8213958053297489
CA,income,GBM,8,2014,2016,0.8150251330262688
CA,income,GBM,8,2014,2017,0.813289794225885
CA,income,GBM,8,2014,2018,0.810472948800507
CA,income,GBM,9,2014,2014,0.8248578356220982
CA,income,GBM,9,2014,2015,0.8216198340054194
CA,income,GBM,9,2014,2016,0.8167602582707637
CA,income,GBM,9,2014,2017,0.8126056082516975
CA,income,GBM,9,2014,2018,0.8108307012971083
