state,task,model,seed,train_year,eval_year,accuracy
CA,income,GBM_tun,0,2014,2014,0.8354263844037795
CA,income,GBM_tun,0,2014,2015,0.8315304358957947
CA,income,GBM_tun,0,2014,2016,0.828180537152712
CA,income,GBM_tun,0,2014,2017,0.82448556471259
CA,income,GBM_tun,0,2014,2018,0.8194678687150553
CA,income,GBM_tun,1,2014,2014,0.8369812223418251
CA,income,GBM_tun,1,2014,2015,0.8311783908340268
CA,income,GBM_tun,1,2014,2016,0.8263507687130629
CA,income,GBM_tun,1,2014,2017,0.8241227388171876
CA,income,GBM_tun,1,2014,2018,0.8203366962068014
CA,income,GBM_tun,2,2014,2014,0.8348936077676659
CA,income,GBM_tun,2,2014,2015,0.831562439992319
CA,income,GBM_tun,2,2014,2016,0.8281384735104212
CA,income,GBM_tun,2,2014,2017,0.8240087078214896
CA,income,GBM_tun,2,2014,2018,0.8209704292007809
CA,income,GBM_tun,3,2014,2014,0.8346435289384697
CA,income,GBM_tun,3,2014,2015,0.8312744031235998
CA,income,GBM_tun,3,2014,2016,0.8286958167707742
CA,income,GBM_tun,3,2014,2017,0.8237702793759395
CA,income,GBM_tun,3,2014,2018,0.81959052671389
CA,income,GBM_tun,4,2014,2014,0.8350675756488458
CA,income,GBM_tun,4,2014,2015,0.8327679276280697
CA,income,GBM_tun,4,2014,2016,0.8276231938923592
CA,income,GBM_tun,4,2014,2017,0.8251075519618515
CA,income,GBM_tun,4,2014,2018,0.8203162532069956
CA,income,GBM_tun,5,2014,2014,0.8379924106511836
CA,income,GBM_tun,5,2014,2015,0.8334720177516055
CA,income,GBM_tun,5,2014,2016,0.8291795486571182
CA,income,GBM_tun,5,2014,2017,0.8251075519618515
CA,income,GBM_tun,5,2014,2018,0.8213281816973823
CA,income,GBM_tun,6,2014,2014,0.8343608311315523
CA,income,GBM_tun,6,2014,2015,0.83201049734366
CA,income,GBM_tun,6,2014,2016,0.8284118871853113
CA,income,GBM_tun,6,2014,2017,0.82384284455502
CA,income,GBM_tun,6,2014,2018,0.8205411262048593
CA,income,GBM_tun,7,2014,2014,0.8360787639582042
CA,income,GBM_tun,7,2014,2015,0.8317437965392903
CA,income,GBM_tun,7,2014,2016,0.8285380781121837
CA,income,GBM_tun,7,2014,2017,0.82448556471259
CA,income,GBM_tun,7,2014,2018,0.8206228982040825
CA,income,GBM_tun,8,2014,2014,0.8338280544954387
CA,income,GBM_tun,8,2014,2015,0.8338560669098978
CA,income,GBM_tun,8,2014,2016,0.8283277599007298
CA,income,GBM_tun,8,2014,2017,0.8251179184160058
CA,income,GBM_tun,8,2014,2018,0.8231884946797093
CA,income,GBM_tun,9,2014,2014,0.8358069391438606
CA,income,GBM_tun,9,2014,2015,0.8323305383089036
CA,income,GBM_tun,9,2014,2016,0.8283803394535932
CA,income,GBM_tun,9,2014,2017,0.8242160369045768
CA,income,GBM_tun,9,2014,2018,0.8214712826960228
