state,task,model,seed,train_year,eval_year,accuracy
CA,income,LR,0,2014,2014,0.7788107120722837
CA,income,LR,0,2014,2015,0.7737417056049841
CA,income,LR,0,2014,2016,0.7710265631901067
CA,income,LR,0,2014,2017,0.7653553102161406
CA,income,LR,0,2014,2018,0.7599582962803962
CA,income,LR,1,2014,2014,0.7782888084287438
CA,income,LR,1,2014,2015,0.7747765047259383
CA,income,LR,1,2014,2016,0.7685973878478137
CA,income,LR,1,2014,2017,0.7633131187477323
CA,income,LR,1,2014,2018,0.7585681722936024
CA,income,LR,2,2014,2014,0.7812245164236553
CA,income,LR,2,2014,2015,0.7744777998250443
CA,income,LR,2,2014,2016,0.7724882747597115
CA,income,LR,2,2014,2017,0.7659980303737107
CA,income,LR,2,2014,2018,0.7619821532611696
CA,income,LR,3,2014,2014,0.77845190331735
CA,income,LR,3,2014,2015,0.7715334229448036
CA,income,LR,3,2014,2016,0.7703430290028813
CA,income,LR,3,2014,2017,0.7627844295858601
CA,income,LR,3,2014,2018,0.7597640877822411
CA,income,LR,4,2014,2014,0.7825510215176523
CA,income,LR,4,2014,2015,0.7767820947747979
CA,income,LR,4,2014,2016,0.7730771657517824
CA,income,LR,4,2014,2017,0.7662882910900326
CA,income,LR,4,2014,2018,0.7622785767583535
CA,income,LR,5,2014,2014,0.7808874536538691
CA,income,LR,5,2014,2015,0.7760353325225628
CA,income,LR,5,2014,2016,0.7711317222958336
CA,income,LR,5,2014,2017,0.764930285595812
CA,income,LR,5,2014,2018,0.7605818077744728
CA,income,LR,6,2014,2014,0.7775168259560079
CA,income,LR,6,2014,2015,0.7732829802214684
CA,income,LR,6,2014,2016,0.7699434244011188
CA,income,LR,6,2014,2017,0.7625460011403099
CA,income,LR,6,2014,2018,0.7595596577841832
CA,income,LR,7,2014,2014,0.7778212697480728
CA,income,LR,7,2014,2015,0.7732723121892936
CA,income,LR,7,2014,2016,0.7704166403768903
CA,income,LR,7,2014,2017,0.7639351059969938
CA,income,LR,7,2014,2018,0.7580570972984576
CA,income,LR,8,2014,2014,0.7789085690054474
CA,income,LR,8,2014,2015,0.7739123941197806
CA,income,LR,8,2014,2016,0.7718152564830588
CA,income,LR,8,2014,2017,0.7656663038407713
CA,income,LR,8,2014,2018,0.7615835147649566
CA,income,LR,9,2014,2014,0.7790934098792011
CA,income,LR,9,2014,2015,0.773944398216305
CA,income,LR,9,2014,2016,0.7701221948808548
CA,income,LR,9,2014,2017,0.7630954232104908
CA,income,LR,9,2014,2018,0.75870105179234
