state,task,model,seed,train_year,eval_year,accuracy
FL,income,GBM,0,2014,2014,0.8251055359916009
FL,income,GBM,0,2014,2015,0.8187308571675078
FL,income,GBM,0,2014,2016,0.8125238075083591
FL,income,GBM,0,2014,2017,0.8090458462740904
FL,income,GBM,0,2014,2018,0.801690152235004
FL,income,GBM,1,2014,2014,0.8253461361797064
FL,income,GBM,1,2014,2015,0.8142228549242915
FL,income,GBM,1,2014,2016,0.811211749269903
FL,income,GBM,1,2014,2017,0.8087784610954565
FL,income,GBM,1,2014,2018,0.802741443098882
FL,income,GBM,2,2014,2014,0.8242743717054178
FL,income,GBM,2,2014,2015,0.8169190285147319
FL,income,GBM,2,2014,2016,0.8100055021797097
FL,income,GBM,2,2014,2017,0.8100536827166334
FL,income,GBM,2,2014,2018,0.8019934092149688
FL,income,GBM,3,2014,2014,0.8270959557295654
FL,income,GBM,3,2014,2015,0.8154091713040852
FL,income,GBM,3,2014,2016,0.8100055021797097
FL,income,GBM,3,2014,2017,0.8125012855056665
FL,income,GBM,3,2014,2018,0.8018316721589875
FL,income,GBM,4,2014,2014,0.8238150440735799
FL,income,GBM,4,2014,2015,0.8152366161942971
FL,income,GBM,4,2014,2016,0.8122486985228764
FL,income,GBM,4,2014,2017,0.8091281186367469
FL,income,GBM,4,2014,2018,0.8016497179710086
FL,income,GBM,5,2014,2014,0.824471226404777
FL,income,GBM,5,2014,2015,0.818407316336655
FL,income,GBM,5,2014,2016,0.8121852118339188
FL,income,GBM,5,2014,2017,0.8099714103539768
FL,income,GBM,5,2014,2018,0.8015890665750157
FL,income,GBM,6,2014,2014,0.8252148997134671
FL,income,GBM,6,2014,2015,0.8172641387343083
FL,income,GBM,6,2014,2016,0.8118889406187836
FL,income,GBM,6,2014,2017,0.8107529977992143
FL,income,GBM,6,2014,2018,0.80051755857914
FL,income,GBM,7,2014,2014,0.8248211903147488
FL,income,GBM,7,2014,2015,0.8146111039213149
FL,income,GBM,7,2014,2016,0.8115503449443433
FL,income,GBM,7,2014,2017,0.8106501573458936
FL,income,GBM,7,2014,2018,0.8014475466510321
FL,income,GBM,8,2014,2014,0.824930554036615
FL,income,GBM,8,2014,2015,0.8149993529183382
FL,income,GBM,8,2014,2016,0.8123756719007915
FL,income,GBM,8,2014,2017,0.8088813015487772
FL,income,GBM,8,2014,2018,0.8017912378949922
FL,income,GBM,9,2014,2014,0.826417900653995
FL,income,GBM,9,2014,2015,0.8155170182477028
FL,income,GBM,9,2014,2016,0.8130740254793245
FL,income,GBM,9,2014,2017,0.8116374256977725
FL,income,GBM,9,2014,2018,0.801629500839011
