state,task,model,seed,train_year,eval_year,accuracy
FL,income,GBM_opt,0,2014,2014,0.8350576346814235
FL,income,GBM_opt,0,2014,2015,0.8237996635175359
FL,income,GBM_opt,0,2014,2016,0.8220679730816439
FL,income,GBM_opt,0,2014,2017,0.8184660317982682
FL,income,GBM_opt,0,2014,2018,0.8108687301619393
FL,income,GBM_opt,1,2014,2014,0.8334609243421772
FL,income,GBM_opt,1,2014,2015,0.8235839696303007
FL,income,GBM_opt,1,2014,2016,0.8218986752444237
FL,income,GBM_opt,1,2014,2017,0.8186100084329172
FL,income,GBM_opt,1,2014,2018,0.8111922042739017
FL,income,GBM_opt,2,2014,2014,0.8327391237778604
FL,income,GBM_opt,2,2014,2015,0.8241663431258358
FL,income,GBM_opt,2,2014,2016,0.8188301519448089
FL,income,GBM_opt,2,2014,2017,0.8195767086941319
FL,income,GBM_opt,2,2014,2018,0.8099589592220447
FL,income,GBM_opt,3,2014,2014,0.8342264703952404
FL,income,GBM_opt,3,2014,2015,0.8222682369181658
FL,income,GBM_opt,3,2014,2016,0.8202903457908325
FL,income,GBM_opt,3,2014,2017,0.8195972767847961
FL,income,GBM_opt,3,2014,2018,0.8126478377777329
FL,income,GBM_opt,4,2014,2014,0.8319517049804239
FL,income,GBM_opt,4,2014,2015,0.8229153185798714
FL,income,GBM_opt,4,2014,2016,0.8229991111863546
FL,income,GBM_opt,4,2014,2017,0.8201731833233921
FL,income,GBM_opt,4,2014,2018,0.8121626266097891
FL,income,GBM_opt,5,2014,2014,0.8332640696428181
FL,income,GBM_opt,5,2014,2015,0.8255036452266943
FL,income,GBM_opt,5,2014,2016,0.8236551403055826
FL,income,GBM_opt,5,2014,2017,0.820440568502026
FL,income,GBM_opt,5,2014,2018,0.8110911186139135
FL,income,GBM_opt,6,2014,2014,0.8331547059209519
FL,income,GBM_opt,6,2014,2015,0.8256114921703119
FL,income,GBM_opt,6,2014,2016,0.8216024040292885
FL,income,GBM_opt,6,2014,2017,0.821160451675271
FL,income,GBM_opt,6,2014,2018,0.8104239532579908
FL,income,GBM_opt,7,2014,2014,0.8330672149434589
FL,income,GBM_opt,7,2014,2015,0.8243173288469005
FL,income,GBM_opt,7,2014,2016,0.8227663266601769
FL,income,GBM_opt,7,2014,2017,0.8202760237767128
FL,income,GBM_opt,7,2014,2018,0.8104239532579908
FL,income,GBM_opt,8,2014,2014,0.8339858702071349
FL,income,GBM_opt,8,2014,2015,0.8231094430783832
FL,income,GBM_opt,8,2014,2016,0.8212849705845008
FL,income,GBM_opt,8,2014,2017,0.818589440342253
FL,income,GBM_opt,8,2014,2018,0.8104441703899885
FL,income,GBM_opt,9,2014,2014,0.8331109604322054
FL,income,GBM_opt,9,2014,2015,0.8208877960398603
FL,income,GBM_opt,9,2014,2016,0.8217928640961611
FL,income,GBM_opt,9,2014,2017,0.8206051132273391
FL,income,GBM_opt,9,2014,2018,0.8115561126498595
