state,task,model,seed,train_year,eval_year,accuracy
FL,income,GBM_tun,0,2014,2014,0.8345545615608391
FL,income,GBM_tun,0,2014,2015,0.824791855398818
FL,income,GBM_tun,0,2014,2016,0.8244593050323782
FL,income,GBM_tun,0,2014,2017,0.8202348875953845
FL,income,GBM_tun,0,2014,2018,0.8105452560499767
FL,income,GBM_tun,1,2014,2014,0.8336140335527898
FL,income,GBM_tun,1,2014,2015,0.8231525818558302
FL,income,GBM_tun,1,2014,2016,0.8225335421339992
FL,income,GBM_tun,1,2014,2017,0.8192887554248339
FL,income,GBM_tun,1,2014,2018,0.8122030608737845
FL,income,GBM_tun,2,2014,2014,0.8329141057328463
FL,income,GBM_tun,2,2014,2015,0.8250075492860532
FL,income,GBM_tun,2,2014,2016,0.8205019680873576
FL,income,GBM_tun,2,2014,2017,0.8196178448754602
FL,income,GBM_tun,2,2014,2018,0.8108687301619393
FL,income,GBM_tun,3,2014,2014,0.8336359062971631
FL,income,GBM_tun,3,2014,2015,0.8220094042534835
FL,income,GBM_tun,3,2014,2016,0.820311508020485
FL,income,GBM_tun,3,2014,2017,0.8201731833233921
FL,income,GBM_tun,3,2014,2018,0.8123850150617633
FL,income,GBM_tun,4,2014,2014,0.8333953061090575
FL,income,GBM_tun,4,2014,2015,0.8226564859151891
FL,income,GBM_tun,4,2014,2016,0.8232107334828798
FL,income,GBM_tun,4,2014,2017,0.8202554556860486
FL,income,GBM_tun,4,2014,2018,0.8133150031336555
FL,income,GBM_tun,5,2014,2014,0.833439051597804
FL,income,GBM_tun,5,2014,2015,0.8261938656658471
FL,income,GBM_tun,5,2014,2016,0.8245016294916833
FL,income,GBM_tun,5,2014,2017,0.820872498405973
FL,income,GBM_tun,5,2014,2018,0.8110304672179205
FL,income,GBM_tun,6,2014,2014,0.8328703602440998
FL,income,GBM_tun,6,2014,2015,0.826107588110953
FL,income,GBM_tun,6,2014,2016,0.8223430820671266
FL,income,GBM_tun,6,2014,2017,0.8208519303153088
FL,income,GBM_tun,6,2014,2018,0.8114145927258759
FL,income,GBM_tun,7,2014,2014,0.8356263260351277
FL,income,GBM_tun,7,2014,2015,0.8259134636124412
FL,income,GBM_tun,7,2014,2016,0.8231684090235747
FL,income,GBM_tun,7,2014,2017,0.8208313622246447
FL,income,GBM_tun,7,2014,2018,0.8106059074459697
FL,income,GBM_tun,8,2014,2014,0.8354294713357685
FL,income,GBM_tun,8,2014,2015,0.8234976920754066
FL,income,GBM_tun,8,2014,2016,0.8217505396368562
FL,income,GBM_tun,8,2014,2017,0.8189185297928794
FL,income,GBM_tun,8,2014,2018,0.8110304672179205
FL,income,GBM_tun,9,2014,2014,0.8327828692666068
FL,income,GBM_tun,9,2014,2015,0.821534877701566
FL,income,GBM_tun,9,2014,2016,0.8236974647648876
FL,income,GBM_tun,9,2014,2017,0.8206873855899957
FL,income,GBM_tun,9,2014,2018,0.8120211066858055
