state,task,model,seed,train_year,eval_year,accuracy
FL,income,LR,0,2014,2014,0.8015704630459983
FL,income,LR,0,2014,2015,0.7908416375479919
FL,income,LR,0,2014,2016,0.7872772675329073
FL,income,LR,0,2014,2017,0.7827392583146506
FL,income,LR,0,2014,2018,0.773750075814245
FL,income,LR,1,2014,2014,0.7900872722500493
FL,income,LR,1,2014,2015,0.7825374228894353
FL,income,LR,1,2014,2016,0.7753417700088882
FL,income,LR,1,2014,2017,0.7720027149879677
FL,income,LR,1,2014,2018,0.7668560338030447
FL,income,LR,2,2014,2014,0.7875281611583805
FL,income,LR,2,2014,2015,0.782731547387947
FL,income,LR,2,2014,2016,0.7742413340669573
FL,income,LR,2,2014,2017,0.7722906682572657
FL,income,LR,2,2014,2018,0.7630754301194832
FL,income,LR,3,2014,2014,0.7971521686826046
FL,income,LR,3,2014,2015,0.7890298088952159
FL,income,LR,3,2014,2016,0.7824099547128286
FL,income,LR,3,2014,2017,0.7811760834241758
FL,income,LR,3,2014,2018,0.7722742251784162
FL,income,LR,4,2014,2014,0.7955554583433584
FL,income,LR,4,2014,2015,0.7901298477201156
FL,income,LR,4,2014,2016,0.7851610445676557
FL,income,LR,4,2014,2017,0.7806001768855797
FL,income,LR,4,2014,2018,0.7731233447223177
FL,income,LR,5,2014,2014,0.7873969246921412
FL,income,LR,5,2014,2015,0.781868771839006
FL,income,LR,5,2014,2016,0.776399881491514
FL,income,LR,5,2014,2017,0.7733190727904729
FL,income,LR,5,2014,2018,0.7644906293593191
FL,income,LR,6,2014,2014,0.7985957698112383
FL,income,LR,6,2014,2015,0.7910789008239506
FL,income,LR,6,2014,2016,0.785584289160706
FL,income,LR,6,2014,2017,0.7809704025175342
FL,income,LR,6,2014,2018,0.7702120777146554
FL,income,LR,7,2014,2014,0.7993831886086747
FL,income,LR,7,2014,2015,0.7920279539277857
FL,income,LR,7,2014,2016,0.7886316502306683
FL,income,LR,7,2014,2017,0.7841995927518048
FL,income,LR,7,2014,2018,0.7755291834300386
FL,income,LR,8,2014,2014,0.7908309455587392
FL,income,LR,8,2014,2015,0.7848237780941288
FL,income,LR,8,2014,2016,0.7803995428958395
FL,income,LR,8,2014,2017,0.7747588391369629
FL,income,LR,8,2014,2018,0.7669166851990377
FL,income,LR,9,2014,2014,0.7901966359719154
FL,income,LR,9,2014,2015,0.7814373840645356
FL,income,LR,9,2014,2016,0.7775003174334448
FL,income,LR,9,2014,2017,0.7737304346037557
FL,income,LR,9,2014,2018,0.7665325596910822
