state,task,model,seed,train_year,eval_year,accuracy
NY,income,GBM,0,2014,2014,0.8087032652167857
NY,income,GBM,0,2014,2015,0.8021731802589575
NY,income,GBM,0,2014,2016,0.7957934235212798
NY,income,GBM,0,2014,2017,0.7948883035801385
NY,income,GBM,0,2014,2018,0.7902195647531595
NY,income,GBM,1,2014,2014,0.8088624470223054
NY,income,GBM,1,2014,2015,0.8040965241012829
NY,income,GBM,1,2014,2016,0.7985385602843883
NY,income,GBM,1,2014,2017,0.7948102624134231
NY,income,GBM,1,2014,2018,0.7926462309021374
NY,income,GBM,2,2014,2014,0.8076287880295282
NY,income,GBM,2,2014,2015,0.8030852814625344
NY,income,GBM,2,2014,2016,0.7984398143576578
NY,income,GBM,2,2014,2017,0.7961369622475856
NY,income,GBM,2,2014,2018,0.7927044708897129
NY,income,GBM,3,2014,2014,0.8074497084983187
NY,income,GBM,3,2014,2015,0.8025300894255746
NY,income,GBM,3,2014,2016,0.7964846450083934
NY,income,GBM,3,2014,2017,0.7968003121646668
NY,income,GBM,3,2014,2018,0.791811457746889
NY,income,GBM,4,2014,2014,0.8078476630121177
NY,income,GBM,4,2014,2015,0.8013602204905518
NY,income,GBM,4,2014,2016,0.7995655179223857
NY,income,GBM,4,2014,2017,0.7971514974148863
NY,income,GBM,4,2014,2018,0.7946069771505115
NY,income,GBM,5,2014,2014,0.8077083789322881
NY,income,GBM,5,2014,2015,0.8023119782681974
NY,income,GBM,5,2014,2016,0.7982225733188506
NY,income,GBM,5,2014,2017,0.7943029948297727
NY,income,GBM,5,2014,2018,0.7910349245792161
NY,income,GBM,6,2014,2014,0.8084246970571264
NY,income,GBM,6,2014,2015,0.8032042511847401
NY,income,GBM,6,2014,2016,0.798854547249926
NY,income,GBM,6,2014,2017,0.7943615257048093
NY,income,GBM,6,2014,2018,0.789501271573062
NY,income,GBM,7,2014,2014,0.8069522653560698
NY,income,GBM,7,2014,2015,0.8026688874348145
NY,income,GBM,7,2014,2016,0.8008294657845364
NY,income,GBM,7,2014,2017,0.7947712418300653
NY,income,GBM,7,2014,2018,0.7907631379705305
NY,income,GBM,8,2014,2014,0.8066736971964105
NY,income,GBM,8,2014,2015,0.8002101798425634
NY,income,GBM,8,2014,2016,0.7978670879826207
NY,income,GBM,8,2014,2017,0.7946932006633499
NY,income,GBM,8,2014,2018,0.7938886839704141
NY,income,GBM,9,2014,2014,0.8076088903038383
NY,income,GBM,9,2014,2015,0.8027878571570202
NY,income,GBM,9,2014,2016,0.7980250814653895
NY,income,GBM,9,2014,2017,0.7949468344551751
NY,income,GBM,9,2014,2018,0.7921026576847664
