state,task,model,seed,train_year,eval_year,accuracy
NY,income,LR,0,2014,2014,0.7580834510615436
NY,income,LR,0,2014,2015,0.7527412606824896
NY,income,LR,0,2014,2016,0.7461637207465192
NY,income,LR,0,2014,2017,0.740649692712906
NY,income,LR,0,2014,2018,0.7361340296247404
NY,income,LR,1,2014,2014,0.7564120421035876
NY,income,LR,1,2014,2015,0.7528602304046953
NY,income,LR,1,2014,2016,0.744603535104177
NY,income,LR,1,2014,2017,0.7417422690469222
NY,income,LR,1,2014,2018,0.7330667236124323
NY,income,LR,2,2014,2014,0.7617247348628052
NY,income,LR,2,2014,2015,0.7571233121170662
NY,income,LR,2,2014,2016,0.7561173101609558
NY,income,LR,2,2014,2017,0.7492342210516048
NY,income,LR,2,2014,2018,0.7472190405932714
NY,income,LR,3,2014,2014,0.7726684839922797
NY,income,LR,3,2014,2015,0.7685444054488133
NY,income,LR,3,2014,2016,0.7631677693295151
NY,income,LR,3,2014,2017,0.7616622768510389
NY,income,LR,3,2014,2018,0.7539360524936422
NY,income,LR,4,2014,2014,0.7557554171558191
NY,income,LR,4,2014,2015,0.7538516447564095
NY,income,LR,4,2014,2016,0.7484546262466674
NY,income,LR,4,2014,2017,0.7409228367964101
NY,income,LR,4,2014,2018,0.7369493894507969
NY,income,LR,5,2014,2014,0.7599140418250194
NY,income,LR,5,2014,2015,0.7539111296175124
NY,income,LR,5,2014,2016,0.7485336229880517
NY,income,LR,5,2014,2017,0.7440444834650278
NY,income,LR,5,2014,2018,0.737609442643319
NY,income,LR,6,2014,2014,0.7661221322402849
NY,income,LR,6,2014,2015,0.7601768683203458
NY,income,LR,6,2014,2016,0.7564135479411475
NY,income,LR,6,2014,2017,0.7486684225929178
NY,income,LR,6,2014,2018,0.7413950418357244
NY,income,LR,7,2014,2014,0.7572079511311857
NY,income,LR,7,2014,2015,0.7546447762377808
NY,income,LR,7,2014,2016,0.7488496099535894
NY,income,LR,7,2014,2017,0.740513120671154
NY,income,LR,7,2014,2018,0.7361922696123158
NY,income,LR,8,2014,2014,0.7543227809061425
NY,income,LR,8,2014,2015,0.7500644419328614
NY,income,LR,8,2014,2016,0.7436160758368717
NY,income,LR,8,2014,2017,0.740513120671154
NY,income,LR,8,2014,2018,0.7360952029663567
NY,income,LR,9,2014,2014,0.7744791770300654
NY,income,LR,9,2014,2015,0.7694168500783217
NY,income,LR,9,2014,2016,0.765596919127086
NY,income,LR,9,2014,2017,0.762208565018047
NY,income,LR,9,2014,2018,0.7549649589408087
