state,task,model,seed,train_year,eval_year,accuracy
TX,income,GBM,0,2014,2014,0.8182619647355164
TX,income,GBM,0,2014,2015,0.8127006280530356
TX,income,GBM,0,2014,2016,0.8115340605690747
TX,income,GBM,0,2014,2017,0.8053779504033463
TX,income,GBM,0,2014,2018,0.8011388717224331
TX,income,GBM,1,2014,2014,0.8190176322418136
TX,income,GBM,1,2014,2015,0.8140032565712957
TX,income,GBM,1,2014,2016,0.8113967503242048
TX,income,GBM,1,2014,2017,0.8061547654616074
TX,income,GBM,1,2014,2018,0.8014037256113711
TX,income,GBM,2,2014,2014,0.8173016372795969
TX,income,GBM,2,2014,2015,0.8121578661704272
TX,income,GBM,2,2014,2016,0.8085132351819361
TX,income,GBM,2,2014,2017,0.8067224380041829
TX,income,GBM,2,2014,2018,0.8005944498396163
TX,income,GBM,3,2014,2014,0.8190963476070529
TX,income,GBM,3,2014,2015,0.8108242226874467
TX,income,GBM,3,2014,2016,0.8086963155084294
TX,income,GBM,3,2014,2017,0.8052733791455035
TX,income,GBM,3,2014,2018,0.7995791765986875
TX,income,GBM,4,2014,2014,0.8195528967254408
TX,income,GBM,4,2014,2015,0.8144684810421028
TX,income,GBM,4,2014,2016,0.8092608131817836
TX,income,GBM,4,2014,2017,0.8067224380041829
TX,income,GBM,4,2014,2018,0.8029192784202936
TX,income,GBM,5,2014,2014,0.8194426952141058
TX,income,GBM,5,2014,2015,0.8132588974180042
TX,income,GBM,5,2014,2016,0.8104355786101152
TX,income,GBM,5,2014,2017,0.8075739468180461
TX,income,GBM,5,2014,2018,0.8023601424325358
TX,income,GBM,6,2014,2014,0.8183249370277078
TX,income,GBM,6,2014,2015,0.8113514770876948
TX,income,GBM,6,2014,2016,0.8088488824471737
TX,income,GBM,6,2014,2017,0.8083059456229459
TX,income,GBM,6,2014,2018,0.8035666990376975
TX,income,GBM,7,2014,2014,0.8188444584382871
TX,income,GBM,7,2014,2015,0.8099713111576335
TX,income,GBM,7,2014,2016,0.8085437485696849
TX,income,GBM,7,2014,2017,0.8062593367194503
TX,income,GBM,7,2014,2018,0.7998881728024484
TX,income,GBM,8,2014,2014,0.8183879093198992
TX,income,GBM,8,2014,2015,0.8114135070171358
TX,income,GBM,8,2014,2016,0.8109085361202227
TX,income,GBM,8,2014,2017,0.8063788467284135
TX,income,GBM,8,2014,2018,0.8022571436979489
TX,income,GBM,9,2014,2014,0.8192695214105793
TX,income,GBM,9,2014,2015,0.8144219585950221
TX,income,GBM,9,2014,2016,0.8088031123655504
TX,income,GBM,9,2014,2017,0.8069465192709889
TX,income,GBM,9,2014,2018,0.801565580765722
