state,task,model,seed,train_year,eval_year,accuracy
TX,income,LR,0,2014,2014,0.791955289672544
TX,income,LR,0,2014,2015,0.786492982864232
TX,income,LR,0,2014,2016,0.7851094667785491
TX,income,LR,0,2014,2017,0.776322079474156
TX,income,LR,0,2014,2018,0.772608222241841
TX,income,LR,1,2014,2014,0.7822732997481109
TX,income,LR,1,2014,2015,0.7740559820113204
TX,income,LR,1,2014,2016,0.7723243573117705
TX,income,LR,1,2014,2017,0.7635046310128474
TX,income,LR,1,2014,2018,0.7620729231040876
TX,income,LR,2,2014,2014,0.7889641057934509
TX,income,LR,2,2014,2015,0.7819182755679616
TX,income,LR,2,2014,2016,0.7789610191471508
TX,income,LR,2,2014,2017,0.7720645354048401
TX,income,LR,2,2014,2018,0.7667520084753244
TX,income,LR,3,2014,2014,0.7804628463476071
TX,income,LR,3,2014,2015,0.7701480964565403
TX,income,LR,3,2014,2016,0.7696391791898696
TX,income,LR,3,2014,2017,0.7601434120107559
TX,income,LR,3,2014,2018,0.7566875606956829
TX,income,LR,4,2014,2014,0.7836901763224181
TX,income,LR,4,2014,2015,0.7776692254012562
TX,income,LR,4,2014,2016,0.7735143794339766
TX,income,LR,4,2014,2017,0.7654317299073797
TX,income,LR,4,2014,2018,0.760351372825991
TX,income,LR,5,2014,2014,0.7900976070528968
TX,income,LR,5,2014,2015,0.7853764441342947
TX,income,LR,5,2014,2016,0.7810664429018231
TX,income,LR,5,2014,2017,0.7768001195100089
TX,income,LR,5,2014,2018,0.7704452488155146
TX,income,LR,6,2014,2014,0.7921284634760706
TX,income,LR,6,2014,2015,0.7841668605101961
TX,income,LR,6,2014,2016,0.7807002822488367
TX,income,LR,6,2014,2017,0.7774574245593069
TX,income,LR,6,2014,2018,0.7733586415938318
TX,income,LR,7,2014,2014,0.7832493702770781
TX,income,LR,7,2014,2015,0.7716523222454834
TX,income,LR,7,2014,2016,0.7704782973529636
TX,income,LR,7,2014,2017,0.764042426053182
TX,income,LR,7,2014,2018,0.7581736852947235
TX,income,LR,8,2014,2014,0.7823205289672545
TX,income,LR,8,2014,2015,0.7748313561293324
TX,income,LR,8,2014,2016,0.7714852391486765
TX,income,LR,8,2014,2017,0.7654317299073797
TX,income,LR,8,2014,2018,0.760366086930932
TX,income,LR,9,2014,2014,0.7831076826196474
TX,income,LR,9,2014,2015,0.7755447003179033
TX,income,LR,9,2014,2016,0.7689983980471432
TX,income,LR,9,2014,2017,0.7652674036450553
TX,income,LR,9,2014,2018,0.760233659986463
