state,task,model,seed,train_config,train_years,eval_year,accuracy
CA,income,GBM,0,2018,2018,2018,0.8153118851097539
CA,income,GBM,0,2017,2017,2018,0.8139677510029898
CA,income,GBM,0,2014-2017,2014-2015-2016-2017,2018,0.8116627909948125
CA,income,GBM,1,2018,2018,2018,0.816124498505098
CA,income,GBM,1,2017,2017,2018,0.8145350471469093
CA,income,GBM,1,2014-2017,2014-2015-2016-2017,2018,0.8116474586665985
CA,income,GBM,2,2018,2018,2018,0.8155367592568932
CA,income,GBM,2,2017,2017,2018,0.8136662152147803
CA,income,GBM,2,2014-2017,2014-2015-2016-2017,2018,0.8120052129915928
CA,income,GBM,3,2018,2018,2018,0.8151483402754708
CA,income,GBM,3,2017,2017,2018,0.8138706462576342
CA,income,GBM,3,2014-2017,2014-2015-2016-2017,2018,0.8110954948508932
CA,income,GBM,4,2018,2018,2018,0.8148928014719035
CA,income,GBM,4,2017,2017,2018,0.8133800117547849
CA,income,GBM,4,2014-2017,2014-2015-2016-2017,2018,0.8116372371144558
CA,income,GBM,5,2018,2018,2018,0.8149490200086883
CA,income,GBM,5,2017,2017,2018,0.813277796233358
CA,income,GBM,5,2014-2017,2014-2015-2016-2017,2018,0.8116270155623131
CA,income,GBM,6,2018,2018,2018,0.8159047351340301
CA,income,GBM,6,2017,2017,2018,0.8137326553037079
CA,income,GBM,6,2014-2017,2014-2015-2016-2017,2018,0.8113254797741037
CA,income,GBM,7,2018,2018,2018,0.8153681036465388
CA,income,GBM,7,2017,2017,2018,0.8143817238647688
CA,income,GBM,7,2014-2017,2014-2015-2016-2017,2018,0.8121227608412337
CA,income,GBM,8,2018,2018,2018,0.8158331842690313
CA,income,GBM,8,2017,2017,2018,0.8143970561929829
CA,income,GBM,8,2014-2017,2014-2015-2016-2017,2018,0.8120716530805203
CA,income,GBM,9,2018,2018,2018,0.8148774691436894
CA,income,GBM,9,2017,2017,2018,0.8139064216901336
CA,income,GBM,9,2014-2017,2014-2015-2016-2017,2018,0.8118978866940945
