state,task,model,seed,train_config,train_years,eval_year,accuracy
CA,income,GBM_opt,0,2018,2018,2018,0.8367720338333376
CA,income,GBM_opt,0,2017,2017,2018,0.8250019165410267
CA,income,GBM_opt,0,2014-2017,2014-2015-2016-2017,2018,0.8273426519817034
CA,income,GBM_opt,1,2018,2018,2018,0.8374313239465413
CA,income,GBM_opt,1,2017,2017,2018,0.824577722127105
CA,income,GBM_opt,1,2014-2017,2014-2015-2016-2017,2018,0.8271228886106355
CA,income,GBM_opt,2,2018,2018,2018,0.8372422252319015
CA,income,GBM_opt,2,2017,2017,2018,0.8249048117956712
CA,income,GBM_opt,2,2014-2017,2014-2015-2016-2017,2018,0.8267753558377839
CA,income,GBM_opt,3,2018,2018,2018,0.8370377941890476
CA,income,GBM_opt,3,2017,2017,2018,0.8246237191117471
CA,income,GBM_opt,3,2014-2017,2014-2015-2016-2017,2018,0.8265198170342166
CA,income,GBM_opt,4,2018,2018,2018,0.8366442644315539
CA,income,GBM_opt,4,2017,2017,2018,0.8244499527253213
CA,income,GBM_opt,4,2014-2017,2014-2015-2016-2017,2018,0.8270922239542075
CA,income,GBM_opt,5,2018,2018,2018,0.8369662433240488
CA,income,GBM_opt,5,2017,2017,2018,0.8240870876242558
CA,income,GBM_opt,5,2014-2017,2014-2015-2016-2017,2018,0.8273477627577748
CA,income,GBM_opt,6,2018,2018,2018,0.8372268929036875
CA,income,GBM_opt,6,2017,2017,2018,0.824163749265326
CA,income,GBM_opt,6,2014-2017,2014-2015-2016-2017,2018,0.8267600235095699
CA,income,GBM_opt,7,2018,2018,2018,0.8369355786676207
CA,income,GBM_opt,7,2017,2017,2018,0.8248332609306723
CA,income,GBM_opt,7,2014-2017,2014-2015-2016-2017,2018,0.8268264635984974
CA,income,GBM_opt,8,2018,2018,2018,0.8371144558301178
CA,income,GBM_opt,8,2017,2017,2018,0.824593054455319
CA,income,GBM_opt,8,2014-2017,2014-2015-2016-2017,2018,0.8268264635984974
CA,income,GBM_opt,9,2018,2018,2018,0.8361127437201339
CA,income,GBM_opt,9,2017,2017,2018,0.8244192880688933
CA,income,GBM_opt,9,2014-2017,2014-2015-2016-2017,2018,0.8270820024020648
