state,task,model,seed,train_config,train_years,eval_year,accuracy
CA,income,GBM_tun,0,2018,2018,2018,0.8343239720951626
CA,income,GBM_tun,0,2017,2017,2018,0.824930365676028
CA,income,GBM_tun,0,2014-2017,2014-2015-2016-2017,2018,0.8271433317149209
CA,income,GBM_tun,1,2018,2018,2018,0.834431298392661
CA,income,GBM_tun,1,2017,2017,2018,0.8252472337924514
CA,income,GBM_tun,1,2014-2017,2014-2015-2016-2017,2018,0.8270053407609945
CA,income,GBM_tun,2,2018,2018,2018,0.8348197173740832
CA,income,GBM_tun,2,2017,2017,2018,0.8245879436792477
CA,income,GBM_tun,2,2014-2017,2014-2015-2016-2017,2018,0.8267957989420693
CA,income,GBM_tun,3,2018,2018,2018,0.8342626427823064
CA,income,GBM_tun,3,2017,2017,2018,0.8251961260317379
CA,income,GBM_tun,3,2014-2017,2014-2015-2016-2017,2018,0.8268826821352823
CA,income,GBM_tun,4,2018,2018,2018,0.8333784785219636
CA,income,GBM_tun,4,2017,2017,2018,0.8251194643906677
CA,income,GBM_tun,4,2014-2017,2014-2015-2016-2017,2018,0.8267651342856412
CA,income,GBM_tun,5,2018,2018,2018,0.8344568522730177
CA,income,GBM_tun,5,2017,2017,2018,0.8256509851020878
CA,income,GBM_tun,5,2014-2017,2014-2015-2016-2017,2018,0.8272148825799197
CA,income,GBM_tun,6,2018,2018,2018,0.8348759359108681
CA,income,GBM_tun,6,2017,2017,2018,0.824209746249968
CA,income,GBM_tun,6,2014-2017,2014-2015-2016-2017,2018,0.8269286791199244
CA,income,GBM_tun,7,2018,2018,2018,0.8348503820305113
CA,income,GBM_tun,7,2017,2017,2018,0.8252165691360233
CA,income,GBM_tun,7,2014-2017,2014-2015-2016-2017,2018,0.8272966549970613
CA,income,GBM_tun,8,2018,2018,2018,0.8347430557330131
CA,income,GBM_tun,8,2017,2017,2018,0.825359670866021
CA,income,GBM_tun,8,2014-2017,2014-2015-2016-2017,2018,0.8271075562824215
CA,income,GBM_tun,9,2018,2018,2018,0.8335522449083893
CA,income,GBM_tun,9,2017,2017,2018,0.8247003807528173
CA,income,GBM_tun,9,2014-2017,2014-2015-2016-2017,2018,0.8275317506963432
