state,task,model,seed,train_config,train_years,eval_year,accuracy
CA,income,LR,0,2018,2018,2018,0.766836174073033
CA,income,LR,0,2017,2017,2018,0.7671479314133851
CA,income,LR,0,2014-2017,2014-2015-2016-2017,2018,0.7635806097155853
CA,income,LR,1,2018,2018,2018,0.7686607211305037
CA,income,LR,1,2017,2017,2018,0.7686402780262183
CA,income,LR,1,2014-2017,2014-2015-2016-2017,2018,0.7819231850356476
CA,income,LR,2,2018,2018,2018,0.7734188536529272
CA,income,LR,2,2017,2017,2018,0.7779470012521401
CA,income,LR,2,2014-2017,2014-2015-2016-2017,2018,0.765256944266987
CA,income,LR,3,2018,2018,2018,0.7660184499016176
CA,income,LR,3,2017,2017,2018,0.7655738123834104
CA,income,LR,3,2014-2017,2014-2015-2016-2017,2018,0.7661513300794726
CA,income,LR,4,2018,2018,2018,0.7672552577108834
CA,income,LR,4,2017,2017,2018,0.7661462193034012
CA,income,LR,4,2014-2017,2014-2015-2016-2017,2018,0.7631819691820203
CA,income,LR,5,2018,2018,2018,0.7675261288426648
CA,income,LR,5,2017,2017,2018,0.7678021107505175
CA,income,LR,5,2014-2017,2014-2015-2016-2017,2018,0.7714818695218869
CA,income,LR,6,2018,2018,2018,0.7684562900876498
CA,income,LR,6,2017,2017,2018,0.7655635908312677
CA,income,LR,6,2014-2017,2014-2015-2016-2017,2018,0.7632535200470192
CA,income,LR,7,2018,2018,2018,0.7712058876140342
CA,income,LR,7,2017,2017,2018,0.765507372294483
CA,income,LR,7,2014-2017,2014-2015-2016-2017,2018,0.7634886157463011
CA,income,LR,8,2018,2018,2018,0.7659673421409041
CA,income,LR,8,2017,2017,2018,0.7659520098126901
CA,income,LR,8,2014-2017,2014-2015-2016-2017,2018,0.7631053075409501
CA,income,LR,9,2018,2018,2018,0.7660184499016176
CA,income,LR,9,2017,2017,2018,0.7652927196994863
CA,income,LR,9,2014-2017,2014-2015-2016-2017,2018,0.7699997444611965
