state,task,model,seed,train_config,train_years,eval_year,accuracy
FL,income,GBM_opt,0,2018,2018,2018,0.8291837250442254
FL,income,GBM_opt,0,2017,2017,2018,0.8138690927470306
FL,income,GBM_opt,0,2014-2017,2014-2015-2016-2017,2018,0.8182562547384382
FL,income,GBM_opt,1,2018,2018,2018,0.8295476370988122
FL,income,GBM_opt,1,2017,2017,2018,0.8134040940106141
FL,income,GBM_opt,1,2014-2017,2014-2015-2016-2017,2018,0.8181349507202426
FL,income,GBM_opt,2,2018,2018,2018,0.8310235026535254
FL,income,GBM_opt,2,2017,2017,2018,0.8133232246651504
FL,income,GBM_opt,2,2014-2017,2014-2015-2016-2017,2018,0.8176092999747283
FL,income,GBM_opt,3,2018,2018,2018,0.8308718726307809
FL,income,GBM_opt,3,2017,2017,2018,0.8142633308061663
FL,income,GBM_opt,3,2014-2017,2014-2015-2016-2017,2018,0.8177912560020217
FL,income,GBM_opt,4,2018,2018,2018,0.8304270912307303
FL,income,GBM_opt,4,2017,2017,2018,0.8140207227697751
FL,income,GBM_opt,4,2014-2017,2014-2015-2016-2017,2018,0.8182158200657064
FL,income,GBM_opt,5,2018,2018,2018,0.8307808946171342
FL,income,GBM_opt,5,2017,2017,2018,0.8138994187515795
FL,income,GBM_opt,5,2014-2017,2014-2015-2016-2017,2018,0.8172251705837756
FL,income,GBM_opt,6,2018,2018,2018,0.8297700277988375
FL,income,GBM_opt,6,2017,2017,2018,0.8141925701288856
FL,income,GBM_opt,6,2014-2017,2014-2015-2016-2017,2018,0.8182764720748041
FL,income,GBM_opt,7,2018,2018,2018,0.8304675259034622
FL,income,GBM_opt,7,2017,2017,2018,0.8141218094516047
FL,income,GBM_opt,7,2014-2017,2014-2015-2016-2017,2018,0.8176295173110942
FL,income,GBM_opt,8,2018,2018,2018,0.8308011119535001
FL,income,GBM_opt,8,2017,2017,2018,0.8134748546878948
FL,income,GBM_opt,8,2014-2017,2014-2015-2016-2017,2018,0.8181652767247916
FL,income,GBM_opt,9,2018,2018,2018,0.8298610058124842
FL,income,GBM_opt,9,2017,2017,2018,0.815253980288097
FL,income,GBM_opt,9,2014-2017,2014-2015-2016-2017,2018,0.8184988627748294
