state,task,model,seed,train_config,train_years,eval_year,accuracy
FL,income,GBM_tun,0,2018,2018,2018,0.8262117765984331
FL,income,GBM_tun,0,2017,2017,2018,0.8147586555471317
FL,income,GBM_tun,0,2014-2017,2014-2015-2016-2017,2018,0.8180338640384129
FL,income,GBM_tun,1,2018,2018,2018,0.8269092747030579
FL,income,GBM_tun,1,2017,2017,2018,0.8140813747788729
FL,income,GBM_tun,1,2014-2017,2014-2015-2016-2017,2018,0.8178417993429365
FL,income,GBM_tun,2,2018,2018,2018,0.826868840030326
FL,income,GBM_tun,2,2017,2017,2018,0.8130603992923933
FL,income,GBM_tun,2,2014-2017,2014-2015-2016-2017,2018,0.8182663634066212
FL,income,GBM_tun,3,2018,2018,2018,0.827455142784938
FL,income,GBM_tun,3,2017,2017,2018,0.8146878948698509
FL,income,GBM_tun,3,2014-2017,2014-2015-2016-2017,2018,0.817730603992924
FL,income,GBM_tun,4,2018,2018,2018,0.8271923174121809
FL,income,GBM_tun,4,2017,2017,2018,0.8145059388425575
FL,income,GBM_tun,4,2014-2017,2014-2015-2016-2017,2018,0.8180945160475107
FL,income,GBM_tun,5,2018,2018,2018,0.8271923174121809
FL,income,GBM_tun,5,2017,2017,2018,0.8138893100833965
FL,income,GBM_tun,5,2014-2017,2014-2015-2016-2017,2018,0.8184483194339146
FL,income,GBM_tun,6,2018,2018,2018,0.8269497093757897
FL,income,GBM_tun,6,2017,2017,2018,0.8134950720242609
FL,income,GBM_tun,6,2014-2017,2014-2015-2016-2017,2018,0.8181147333838766
FL,income,GBM_tun,7,2018,2018,2018,0.8266565579984837
FL,income,GBM_tun,7,2017,2017,2018,0.8144250694970938
FL,income,GBM_tun,7,2014-2017,2014-2015-2016-2017,2018,0.8177002779883751
FL,income,GBM_tun,8,2018,2018,2018,0.8272934040940106
FL,income,GBM_tun,8,2017,2017,2018,0.8144452868334597
FL,income,GBM_tun,8,2014-2017,2014-2015-2016-2017,2018,0.8178822340156684
FL,income,GBM_tun,9,2018,2018,2018,0.8268385140257771
FL,income,GBM_tun,9,2017,2017,2018,0.8148799595653272
FL,income,GBM_tun,9,2014-2017,2014-2015-2016-2017,2018,0.8180742987111448
