state,task,model,seed,train_config,train_years,eval_year,accuracy
FL,income,LR,0,2018,2018,2018,0.7701491028556987
FL,income,LR,0,2017,2017,2018,0.7647814000505433
FL,income,LR,0,2014-2017,2014-2015-2016-2017,2018,0.7642052059641142
FL,income,LR,1,2018,2018,2018,0.7638716199140764
FL,income,LR,1,2017,2017,2018,0.7646297700277989
FL,income,LR,1,2014-2017,2014-2015-2016-2017,2018,0.7677735658327015
FL,income,LR,2,2018,2018,2018,0.7704220368966389
FL,income,LR,2,2017,2017,2018,0.7764366944655041
FL,income,LR,2,2014-2017,2014-2015-2016-2017,2018,0.7678443265099824
FL,income,LR,3,2018,2018,2018,0.7745766995198382
FL,income,LR,3,2017,2017,2018,0.7639322719231741
FL,income,LR,3,2014-2017,2014-2015-2016-2017,2018,0.7650745514278494
FL,income,LR,4,2018,2018,2018,0.7684003032600455
FL,income,LR,4,2017,2017,2018,0.7656608541824614
FL,income,LR,4,2014-2017,2014-2015-2016-2017,2018,0.7657619408642912
FL,income,LR,5,2018,2018,2018,0.7652666161233258
FL,income,LR,5,2017,2017,2018,0.7736669193833713
FL,income,LR,5,2014-2017,2014-2015-2016-2017,2018,0.764902704068739
FL,income,LR,6,2018,2018,2018,0.7645387920141521
FL,income,LR,6,2017,2017,2018,0.7650846600960324
FL,income,LR,6,2014-2017,2014-2015-2016-2017,2018,0.7652767247915088
FL,income,LR,7,2018,2018,2018,0.7722415971695729
FL,income,LR,7,2017,2017,2018,0.7649936820823856
FL,income,LR,7,2014-2017,2014-2015-2016-2017,2018,0.768521607278241
FL,income,LR,8,2018,2018,2018,0.7660045489006824
FL,income,LR,8,2017,2017,2018,0.7658529188779378
FL,income,LR,8,2014-2017,2014-2015-2016-2017,2018,0.7650846600960324
FL,income,LR,9,2018,2018,2018,0.7654182461460702
FL,income,LR,9,2017,2017,2018,0.7716552944149608
FL,income,LR,9,2014-2017,2014-2015-2016-2017,2018,0.7640030326004549
