state,task,model,seed,train_config,train_years,eval_year,accuracy
NY,income,GBM,0,2018,2018,2018,0.7987206491880297
NY,income,GBM,0,2017,2017,2018,0.7959445161666068
NY,income,GBM,0,2014-2017,2014-2015-2016-2017,2018,0.7954882985022471
NY,income,GBM,1,2018,2018,2018,0.7965948690072898
NY,income,GBM,1,2017,2017,2018,0.7947408780734025
NY,income,GBM,1,2014-2017,2014-2015-2016-2017,2018,0.7945758631735277
NY,income,GBM,2,2018,2018,2018,0.7980994166237951
NY,income,GBM,2,2017,2017,2018,0.7960901175488493
NY,income,GBM,2,2014-2017,2014-2015-2016-2017,2018,0.7950029605614389
NY,income,GBM,3,2018,2018,2018,0.7985362207705226
NY,income,GBM,3,2017,2017,2018,0.7955950728492249
NY,income,GBM,3,2014-2017,2014-2015-2016-2017,2018,0.794944720008542
NY,income,GBM,4,2018,2018,2018,0.797973228759185
NY,income,GBM,4,2017,2017,2018,0.796488094660312
NY,income,GBM,4,2014-2017,2014-2015-2016-2017,2018,0.795895982372526
NY,income,GBM,5,2018,2018,2018,0.798507100494074
NY,income,GBM,5,2017,2017,2018,0.7952941633259238
NY,income,GBM,5,2014-2017,2014-2015-2016-2017,2018,0.7953329903611885
NY,income,GBM,6,2018,2018,2018,0.797021966395201
NY,income,GBM,6,2017,2017,2018,0.7958668620960775
NY,income,GBM,6,2014-2017,2014-2015-2016-2017,2018,0.7954785917434309
NY,income,GBM,7,2018,2018,2018,0.7977790935828617
NY,income,GBM,7,2017,2017,2018,0.7953524038788208
NY,income,GBM,7,2014-2017,2014-2015-2016-2017,2018,0.7954785917434309
NY,income,GBM,8,2018,2018,2018,0.7982838450413022
NY,income,GBM,8,2017,2017,2018,0.795663020160938
NY,income,GBM,8,2014-2017,2014-2015-2016-2017,2018,0.7945564496558954
NY,income,GBM,9,2018,2018,2018,0.7982256044884053
NY,income,GBM,9,2017,2017,2018,0.7950806146319682
NY,income,GBM,9,2014-2017,2014-2015-2016-2017,2018,0.7947214645557702
