state,task,model,seed,train_config,train_years,eval_year,accuracy
NY,income,GBM_opt,0,2018,2018,2018,0.8230069597460712
NY,income,GBM_opt,0,2017,2017,2018,0.8072334766698052
NY,income,GBM_opt,0,2014-2017,2014-2015-2016-2017,2018,0.8114559167548364
NY,income,GBM_opt,1,2018,2018,2018,0.8235408314809602
NY,income,GBM_opt,1,2017,2017,2018,0.8068840333524233
NY,income,GBM_opt,1,2014-2017,2014-2015-2016-2017,2018,0.8112909018549616
NY,income,GBM_opt,2,2018,2018,2018,0.8230263732637035
NY,income,GBM_opt,2,2017,2017,2018,0.8074081983284961
NY,income,GBM_opt,2,2014-2017,2014-2015-2016-2017,2018,0.8114656235136526
NY,income,GBM_opt,3,2018,2018,2018,0.8236573125867541
NY,income,GBM_opt,3,2017,2017,2018,0.8069713941817688
NY,income,GBM_opt,3,2014-2017,2014-2015-2016-2017,2018,0.8104464138379553
NY,income,GBM_opt,4,2018,2018,2018,0.8227739975344832
NY,income,GBM_opt,4,2017,2017,2018,0.8081847390337892
NY,income,GBM_opt,4,2014-2017,2014-2015-2016-2017,2018,0.8112617815785131
NY,income,GBM_opt,5,2018,2018,2018,0.8224827947699983
NY,income,GBM_opt,5,2017,2017,2018,0.8078255889575912
NY,income,GBM_opt,5,2014-2017,2014-2015-2016-2017,2018,0.8120189087661739
NY,income,GBM_opt,6,2018,2018,2018,0.8232108016812106
NY,income,GBM_opt,6,2017,2017,2018,0.8074276118461284
NY,income,GBM_opt,6,2014-2017,2014-2015-2016-2017,2018,0.8108055639141534
NY,income,GBM_opt,7,2018,2018,2018,0.822880771881461
NY,income,GBM_opt,7,2017,2017,2018,0.8074664388813931
NY,income,GBM_opt,7,2014-2017,2014-2015-2016-2017,2018,0.8106793760495433
NY,income,GBM_opt,8,2018,2018,2018,0.822405140699469
NY,income,GBM_opt,8,2017,2017,2018,0.8069519806641364
NY,income,GBM_opt,8,2014-2017,2014-2015-2016-2017,2018,0.8112326613020646
NY,income,GBM_opt,9,2018,2018,2018,0.823356403063453
NY,income,GBM_opt,9,2017,2017,2018,0.8063501616175343
NY,income,GBM_opt,9,2014-2017,2014-2015-2016-2017,2018,0.8115335708253657
