state,task,model,seed,train_config,train_years,eval_year,accuracy
NY,income,GBM_tun,0,2018,2018,2018,0.8193378049135613
NY,income,GBM_tun,0,2017,2017,2018,0.8075537997107386
NY,income,GBM_tun,0,2014-2017,2014-2015-2016-2017,2018,0.8106696692907271
NY,income,GBM_tun,1,2018,2018,2018,0.8197843158191048
NY,income,GBM_tun,1,2017,2017,2018,0.8063016278234535
NY,income,GBM_tun,1,2014-2017,2014-2015-2016-2017,2018,0.8116209316547112
NY,income,GBM_tun,2,2018,2018,2018,0.8195416468487008
NY,income,GBM_tun,2,2017,2017,2018,0.8070684617699304
NY,income,GBM_tun,2,2014-2017,2014-2015-2016-2017,2018,0.8117374127605052
NY,income,GBM_tun,3,2018,2018,2018,0.8200172780306928
NY,income,GBM_tun,3,2017,2017,2018,0.8076411605400841
NY,income,GBM_tun,3,2014-2017,2014-2015-2016-2017,2018,0.8102911056968968
NY,income,GBM_tun,4,2018,2018,2018,0.8188718804903855
NY,income,GBM_tun,4,2017,2017,2018,0.8085924229040681
NY,income,GBM_tun,4,2014-2017,2014-2015-2016-2017,2018,0.8108346841906019
NY,income,GBM_tun,5,2018,2018,2018,0.8194251657429068
NY,income,GBM_tun,5,2017,2017,2018,0.8080197241339144
NY,income,GBM_tun,5,2014-2017,2014-2015-2016-2017,2018,0.8121936304248648
NY,income,GBM_tun,6,2018,2018,2018,0.8208035254948021
NY,income,GBM_tun,6,2017,2017,2018,0.8077188146106133
NY,income,GBM_tun,6,2014-2017,2014-2015-2016-2017,2018,0.8108540977082342
NY,income,GBM_tun,7,2018,2018,2018,0.8197746090602887
NY,income,GBM_tun,7,2017,2017,2018,0.8071267023228273
NY,income,GBM_tun,7,2014-2017,2014-2015-2016-2017,2018,0.8109220450199474
NY,income,GBM_tun,8,2018,2018,2018,0.8186292115199814
NY,income,GBM_tun,8,2017,2017,2018,0.8068160860407102
NY,income,GBM_tun,8,2014-2017,2014-2015-2016-2017,2018,0.8114073829607555
NY,income,GBM_tun,9,2018,2018,2018,0.8197163685073917
NY,income,GBM_tun,9,2017,2017,2018,0.8070005144582173
NY,income,GBM_tun,9,2014-2017,2014-2015-2016-2017,2018,0.8109123382611312
