state,task,model,seed,train_config,train_years,eval_year,accuracy
NY,income,LR,0,2018,2018,2018,0.7634074606148261
NY,income,LR,0,2017,2017,2018,0.7427611846128459
NY,income,LR,0,2014-2017,2014-2015-2016-2017,2018,0.7450131526581959
NY,income,LR,1,2018,2018,2018,0.758777336659516
NY,income,LR,1,2017,2017,2018,0.7407907125731646
NY,income,LR,1,2014-2017,2014-2015-2016-2017,2018,0.7405189233263121
NY,income,LR,2,2018,2018,2018,0.7471583463565681
NY,income,LR,2,2017,2017,2018,0.7439842362236826
NY,income,LR,2,2014-2017,2014-2015-2016-2017,2018,0.7499344793779908
NY,income,LR,3,2018,2018,2018,0.756224459090865
NY,income,LR,3,2017,2017,2018,0.7424602750895448
NY,income,LR,3,2014-2017,2014-2015-2016-2017,2018,0.7401015326972171
NY,income,LR,4,2018,2018,2018,0.7581755176129139
NY,income,LR,4,2017,2017,2018,0.7416157870725386
NY,income,LR,4,2014-2017,2014-2015-2016-2017,2018,0.755748827908873
NY,income,LR,5,2018,2018,2018,0.7446151755467332
NY,income,LR,5,2017,2017,2018,0.742702944059949
NY,income,LR,5,2014-2017,2014-2015-2016-2017,2018,0.7444695741644908
NY,income,LR,6,2018,2018,2018,0.7535745139340523
NY,income,LR,6,2017,2017,2018,0.7593306219120374
NY,income,LR,6,2014-2017,2014-2015-2016-2017,2018,0.7383834363867561
NY,income,LR,7,2018,2018,2018,0.7618252589277914
NY,income,LR,7,2017,2017,2018,0.7424020345366479
NY,income,LR,7,2014-2017,2014-2015-2016-2017,2018,0.758719096106619
NY,income,LR,8,2018,2018,2018,0.7483037438968754
NY,income,LR,8,2017,2017,2018,0.7587967501771483
NY,income,LR,8,2014-2017,2014-2015-2016-2017,2018,0.7383446093514915
NY,income,LR,9,2018,2018,2018,0.7589714718358392
NY,income,LR,9,2017,2017,2018,0.7428776657186399
NY,income,LR,9,2014-2017,2014-2015-2016-2017,2018,0.746614767862863
