state,task,model,seed,train_config,train_years,eval_year,accuracy
TX,income,GBM,0,2018,2018,2018,0.807752861893411
TX,income,GBM,0,2017,2017,2018,0.8061195962449604
TX,income,GBM,0,2014-2017,2014-2015-2016-2017,2018,0.8051999646861482
TX,income,GBM,1,2018,2018,2018,0.8064138783437803
TX,income,GBM,1,2017,2017,2018,0.8052514640534416
TX,income,GBM,1,2014-2017,2014-2015-2016-2017,2018,0.8054648185750861
TX,income,GBM,2,2018,2018,2018,0.808091286307054
TX,income,GBM,2,2017,2017,2018,0.8066787322327182
TX,income,GBM,2,2014-2017,2014-2015-2016-2017,2018,0.8053618198404991
TX,income,GBM,3,2018,2018,2018,0.807944145257644
TX,income,GBM,3,2017,2017,2018,0.8049792531120332
TX,income,GBM,3,2014-2017,2014-2015-2016-2017,2018,0.8055751743621435
TX,income,GBM,4,2018,2018,2018,0.8067964450722462
TX,income,GBM,4,2017,2017,2018,0.805479532680027
TX,income,GBM,4,2014-2017,2014-2015-2016-2017,2018,0.805920955828257
TX,income,GBM,5,2018,2018,2018,0.8081869279891705
TX,income,GBM,5,2017,2017,2018,0.8051852505812072
TX,income,GBM,5,2014-2017,2014-2015-2016-2017,2018,0.8055531032047321
TX,income,GBM,6,2018,2018,2018,0.8077160766310585
TX,income,GBM,6,2017,2017,2018,0.8060018834054324
TX,income,GBM,6,2014-2017,2014-2015-2016-2017,2018,0.8052441070009712
TX,income,GBM,7,2018,2018,2018,0.8074953650569436
TX,income,GBM,7,2017,2017,2018,0.8055604602572025
TX,income,GBM,7,2014-2017,2014-2015-2016-2017,2018,0.8053544627880286
TX,income,GBM,8,2018,2018,2018,0.8079662164150555
TX,income,GBM,8,2017,2017,2018,0.8053765339454401
TX,income,GBM,8,2014-2017,2014-2015-2016-2017,2018,0.8055604602572025
TX,income,GBM,9,2018,2018,2018,0.807988287572467
TX,income,GBM,9,2017,2017,2018,0.805744386568965
TX,income,GBM,9,2014-2017,2014-2015-2016-2017,2018,0.8055531032047321
