state,task,model,seed,train_config,train_years,eval_year,accuracy
TX,income,GBM_opt,0,2018,2018,2018,0.8291618845825608
TX,income,GBM_opt,0,2017,2017,2018,0.8156616932991966
TX,income,GBM_opt,0,2014-2017,2014-2015-2016-2017,2018,0.8197375003678526
TX,income,GBM_opt,1,2018,2018,2018,0.8279847561872812
TX,income,GBM_opt,1,2017,2017,2018,0.8151246284688503
TX,income,GBM_opt,1,2014-2017,2014-2015-2016-2017,2018,0.8188620111238634
TX,income,GBM_opt,2,2018,2018,2018,0.828514463965157
TX,income,GBM_opt,2,2017,2017,2018,0.8151393425737913
TX,income,GBM_opt,2,2014-2017,2014-2015-2016-2017,2018,0.8185971572349254
TX,income,GBM_opt,3,2018,2018,2018,0.828367322915747
TX,income,GBM_opt,3,2017,2017,2018,0.8151099143639092
TX,income,GBM_opt,3,2014-2017,2014-2015-2016-2017,2018,0.8190238662782143
TX,income,GBM_opt,4,2018,2018,2018,0.8278523292428122
TX,income,GBM_opt,4,2017,2017,2018,0.8155145522497866
TX,income,GBM_opt,4,2014-2017,2014-2015-2016-2017,2018,0.8192813631146817
TX,income,GBM_opt,5,2018,2018,2018,0.8282422530237485
TX,income,GBM_opt,5,2017,2017,2018,0.8156175509843736
TX,income,GBM_opt,5,2014-2017,2014-2015-2016-2017,2018,0.8193843618492687
TX,income,GBM_opt,6,2018,2018,2018,0.8280877549218681
TX,income,GBM_opt,6,2017,2017,2018,0.8154924810923752
TX,income,GBM_opt,6,2014-2017,2014-2015-2016-2017,2018,0.8194579323739737
TX,income,GBM_opt,7,2018,2018,2018,0.8283599658632765
TX,income,GBM_opt,7,2017,2017,2018,0.8149186309996763
TX,income,GBM_opt,7,2014-2017,2014-2015-2016-2017,2018,0.8195977163709132
TX,income,GBM_opt,8,2018,2018,2018,0.828543892175039
TX,income,GBM_opt,8,2017,2017,2018,0.8155586945646096
TX,income,GBM_opt,8,2014-2017,2014-2015-2016-2017,2018,0.8195167887937377
TX,income,GBM_opt,9,2018,2018,2018,0.8277125452458727
TX,income,GBM_opt,9,2017,2017,2018,0.8153968394102586
TX,income,GBM_opt,9,2014-2017,2014-2015-2016-2017,2018,0.8190091521732733
