state,task,model,seed,train_config,train_years,eval_year,accuracy
TX,income,GBM_tun,0,2018,2018,2018,0.8260351372825991
TX,income,GBM_tun,0,2017,2017,2018,0.8164709690709514
TX,income,GBM_tun,0,2014-2017,2014-2015-2016-2017,2018,0.8194947176363262
TX,income,GBM_tun,1,2018,2018,2018,0.8247255819428504
TX,income,GBM_tun,1,2017,2017,2018,0.8156616932991966
TX,income,GBM_tun,1,2014-2017,2014-2015-2016-2017,2018,0.8192004355375062
TX,income,GBM_tun,2,2018,2018,2018,0.8258291398134251
TX,income,GBM_tun,2,2017,2017,2018,0.815963332450487
TX,income,GBM_tun,2,2014-2017,2014-2015-2016-2017,2018,0.8189061534386863
TX,income,GBM_tun,3,2018,2018,2018,0.8254171448750772
TX,income,GBM_tun,3,2017,2017,2018,0.8158529766634296
TX,income,GBM_tun,3,2014-2017,2014-2015-2016-2017,2018,0.8192519349047998
TX,income,GBM_tun,4,2018,2018,2018,0.8248580088873194
TX,income,GBM_tun,4,2017,2017,2018,0.8158088343486066
TX,income,GBM_tun,4,2014-2017,2014-2015-2016-2017,2018,0.8196639298431476
TX,income,GBM_tun,5,2018,2018,2018,0.8254171448750772
TX,income,GBM_tun,5,2017,2017,2018,0.8158897619257821
TX,income,GBM_tun,5,2014-2017,2014-2015-2016-2017,2018,0.8196197875283247
TX,income,GBM_tun,6,2018,2018,2018,0.8256599276066037
TX,income,GBM_tun,6,2017,2017,2018,0.8149480592095583
TX,income,GBM_tun,6,2014-2017,2014-2015-2016-2017,2018,0.8193696477443277
TX,income,GBM_tun,7,2018,2018,2018,0.8254686442423708
TX,income,GBM_tun,7,2017,2017,2018,0.8156984785615491
TX,income,GBM_tun,7,2014-2017,2014-2015-2016-2017,2018,0.8196639298431476
TX,income,GBM_tun,8,2018,2018,2018,0.8256893558164857
TX,income,GBM_tun,8,2017,2017,2018,0.8156322650893146
TX,income,GBM_tun,8,2014-2017,2014-2015-2016-2017,2018,0.8196050734233836
TX,income,GBM_tun,9,2018,2018,2018,0.8249095082546128
TX,income,GBM_tun,9,2017,2017,2018,0.8151614137312028
TX,income,GBM_tun,9,2014-2017,2014-2015-2016-2017,2018,0.8194947176363262
